ZEIT;RAUM;MERKMAL;WERT
31.12.1999;11 Aegidii;Wohnberechtigte Bevölkerung;1428
31.12.1999;12 Überwasser;Wohnberechtigte Bevölkerung;1450
31.12.1999;13 Dom;Wohnberechtigte Bevölkerung;2299
31.12.1999;14 Buddenturm;Wohnberechtigte Bevölkerung;2343
31.12.1999;15 Martini;Wohnberechtigte Bevölkerung;1341
31.12.1999;21 Pluggendorf;Wohnberechtigte Bevölkerung;4559
31.12.1999;22 Josef;Wohnberechtigte Bevölkerung;8245
31.12.1999;23 Bahnhof;Wohnberechtigte Bevölkerung;1004
31.12.1999;24 Hansaplatz;Wohnberechtigte Bevölkerung;6625
31.12.1999;25 Mauritz-West;Wohnberechtigte Bevölkerung;5789
31.12.1999;26 Schlachthof;Wohnberechtigte Bevölkerung;4281
31.12.1999;27 Kreuz;Wohnberechtigte Bevölkerung;12166
31.12.1999;28 Neutor;Wohnberechtigte Bevölkerung;4139
31.12.1999;29 Schloss;Wohnberechtigte Bevölkerung;1914
31.12.1999;31 Aaseestadt;Wohnberechtigte Bevölkerung;5489
31.12.1999;32 Geist;Wohnberechtigte Bevölkerung;8601
31.12.1999;33 Schützenhof;Wohnberechtigte Bevölkerung;7058
31.12.1999;34 Düesberg;Wohnberechtigte Bevölkerung;6757
31.12.1999;43 Hafen;Wohnberechtigte Bevölkerung;982
31.12.1999;44 Herz-Jesu;Wohnberechtigte Bevölkerung;5298
31.12.1999;45 Mauritz-Mitte;Wohnberechtigte Bevölkerung;9956
31.12.1999;46 Rumphorst;Wohnberechtigte Bevölkerung;7826
31.12.1999;47 Uppenberg;Wohnberechtigte Bevölkerung;6847
31.12.1999;51 Gievenbeck;Wohnberechtigte Bevölkerung;16871
31.12.1999;52 Sentrup;Wohnberechtigte Bevölkerung;6696
31.12.1999;54 Mecklenbeck;Wohnberechtigte Bevölkerung;8436
31.12.1999;56 Albachten;Wohnberechtigte Bevölkerung;4830
31.12.1999;57 Roxel;Wohnberechtigte Bevölkerung;7805
31.12.1999;58 Nienberge;Wohnberechtigte Bevölkerung;6936
31.12.1999;61 Coerde;Wohnberechtigte Bevölkerung;9482
31.12.1999;62 Kinderhaus-Ost;Wohnberechtigte Bevölkerung;5196
31.12.1999;63 Kinderhaus-West;Wohnberechtigte Bevölkerung;11076
31.12.1999;68 Sprakel;Wohnberechtigte Bevölkerung;2755
31.12.1999;71 Mauritz-Ost;Wohnberechtigte Bevölkerung;9909
31.12.1999;76 Gelmer-Dyckburg;Wohnberechtigte Bevölkerung;3465
31.12.1999;77 Handorf;Wohnberechtigte Bevölkerung;6898
31.12.1999;81 Gremmendorf-West;Wohnberechtigte Bevölkerung;4518
31.12.1999;82 Gremmendorf-Ost;Wohnberechtigte Bevölkerung;5719
31.12.1999;86 Angelmodde;Wohnberechtigte Bevölkerung;7654
31.12.1999;87 Wolbeck;Wohnberechtigte Bevölkerung;8958
31.12.1999;91 Berg Fidel;Wohnberechtigte Bevölkerung;5841
31.12.1999;95 Hiltrup-Ost;Wohnberechtigte Bevölkerung;7219
31.12.1999;96 Hiltrup-Mitte;Wohnberechtigte Bevölkerung;9660
31.12.1999;97 Hiltrup-West;Wohnberechtigte Bevölkerung;8365
31.12.1999;98 Amelsbüren;Wohnberechtigte Bevölkerung;4978
31.12.2000;11 Aegidii;Wohnberechtigte Bevölkerung;1381
31.12.2000;12 Überwasser;Wohnberechtigte Bevölkerung;1408
31.12.2000;13 Dom;Wohnberechtigte Bevölkerung;2255
31.12.2000;14 Buddenturm;Wohnberechtigte Bevölkerung;2324
31.12.2000;15 Martini;Wohnberechtigte Bevölkerung;1341
31.12.2000;21 Pluggendorf;Wohnberechtigte Bevölkerung;4464
31.12.2000;22 Josef;Wohnberechtigte Bevölkerung;8111
31.12.2000;23 Bahnhof;Wohnberechtigte Bevölkerung;986
31.12.2000;24 Hansaplatz;Wohnberechtigte Bevölkerung;6528
31.12.2000;25 Mauritz-West;Wohnberechtigte Bevölkerung;5697
31.12.2000;26 Schlachthof;Wohnberechtigte Bevölkerung;4233
31.12.2000;27 Kreuz;Wohnberechtigte Bevölkerung;12144
31.12.2000;28 Neutor;Wohnberechtigte Bevölkerung;4112
31.12.2000;29 Schloss;Wohnberechtigte Bevölkerung;1828
31.12.2000;31 Aaseestadt;Wohnberechtigte Bevölkerung;5464
31.12.2000;32 Geist;Wohnberechtigte Bevölkerung;8493
31.12.2000;33 Schützenhof;Wohnberechtigte Bevölkerung;6979
31.12.2000;34 Düesberg;Wohnberechtigte Bevölkerung;6636
31.12.2000;43 Hafen;Wohnberechtigte Bevölkerung;977
31.12.2000;44 Herz-Jesu;Wohnberechtigte Bevölkerung;5217
31.12.2000;45 Mauritz-Mitte;Wohnberechtigte Bevölkerung;9909
31.12.2000;46 Rumphorst;Wohnberechtigte Bevölkerung;7698
31.12.2000;47 Uppenberg;Wohnberechtigte Bevölkerung;7080
31.12.2000;51 Gievenbeck;Wohnberechtigte Bevölkerung;17243
31.12.2000;52 Sentrup;Wohnberechtigte Bevölkerung;6736
31.12.2000;54 Mecklenbeck;Wohnberechtigte Bevölkerung;8670
31.12.2000;56 Albachten;Wohnberechtigte Bevölkerung;4772
31.12.2000;57 Roxel;Wohnberechtigte Bevölkerung;7715
31.12.2000;58 Nienberge;Wohnberechtigte Bevölkerung;6798
31.12.2000;61 Coerde;Wohnberechtigte Bevölkerung;9794
31.12.2000;62 Kinderhaus-Ost;Wohnberechtigte Bevölkerung;5175
31.12.2000;63 Kinderhaus-West;Wohnberechtigte Bevölkerung;10826
31.12.2000;68 Sprakel;Wohnberechtigte Bevölkerung;2765
31.12.2000;71 Mauritz-Ost;Wohnberechtigte Bevölkerung;9890
31.12.2000;76 Gelmer-Dyckburg;Wohnberechtigte Bevölkerung;3450
31.12.2000;77 Handorf;Wohnberechtigte Bevölkerung;6992
31.12.2000;81 Gremmendorf-West;Wohnberechtigte Bevölkerung;4616
31.12.2000;82 Gremmendorf-Ost;Wohnberechtigte Bevölkerung;5940
31.12.2000;86 Angelmodde;Wohnberechtigte Bevölkerung;7664
31.12.2000;87 Wolbeck;Wohnberechtigte Bevölkerung;8901
31.12.2000;91 Berg Fidel;Wohnberechtigte Bevölkerung;5802
31.12.2000;95 Hiltrup-Ost;Wohnberechtigte Bevölkerung;7148
31.12.2000;96 Hiltrup-Mitte;Wohnberechtigte Bevölkerung;9737
31.12.2000;97 Hiltrup-West;Wohnberechtigte Bevölkerung;8543
31.12.2000;98 Amelsbüren;Wohnberechtigte Bevölkerung;5019
31.12.2001;11 Aegidii;Wohnberechtigte Bevölkerung;1293
31.12.2001;12 Überwasser;Wohnberechtigte Bevölkerung;1392
31.12.2001;13 Dom;Wohnberechtigte Bevölkerung;2122
31.12.2001;14 Buddenturm;Wohnberechtigte Bevölkerung;2292
31.12.2001;15 Martini;Wohnberechtigte Bevölkerung;1317
31.12.2001;21 Pluggendorf;Wohnberechtigte Bevölkerung;4380
31.12.2001;22 Josef;Wohnberechtigte Bevölkerung;7960
31.12.2001;23 Bahnhof;Wohnberechtigte Bevölkerung;980
31.12.2001;24 Hansaplatz;Wohnberechtigte Bevölkerung;6408
31.12.2001;25 Mauritz-West;Wohnberechtigte Bevölkerung;5622
31.12.2001;26 Schlachthof;Wohnberechtigte Bevölkerung;4565
31.12.2001;27 Kreuz;Wohnberechtigte Bevölkerung;11891
31.12.2001;28 Neutor;Wohnberechtigte Bevölkerung;4044
31.12.2001;29 Schloss;Wohnberechtigte Bevölkerung;1858
31.12.2001;31 Aaseestadt;Wohnberechtigte Bevölkerung;5417
31.12.2001;32 Geist;Wohnberechtigte Bevölkerung;8563
31.12.2001;33 Schützenhof;Wohnberechtigte Bevölkerung;6869
31.12.2001;34 Düesberg;Wohnberechtigte Bevölkerung;6564
31.12.2001;43 Hafen;Wohnberechtigte Bevölkerung;913
31.12.2001;44 Herz-Jesu;Wohnberechtigte Bevölkerung;5140
31.12.2001;45 Mauritz-Mitte;Wohnberechtigte Bevölkerung;9739
31.12.2001;46 Rumphorst;Wohnberechtigte Bevölkerung;7851
31.12.2001;47 Uppenberg;Wohnberechtigte Bevölkerung;7308
31.12.2001;51 Gievenbeck;Wohnberechtigte Bevölkerung;17370
31.12.2001;52 Sentrup;Wohnberechtigte Bevölkerung;6680
31.12.2001;54 Mecklenbeck;Wohnberechtigte Bevölkerung;8881
31.12.2001;56 Albachten;Wohnberechtigte Bevölkerung;4693
31.12.2001;57 Roxel;Wohnberechtigte Bevölkerung;7743
31.12.2001;58 Nienberge;Wohnberechtigte Bevölkerung;6745
31.12.2001;61 Coerde;Wohnberechtigte Bevölkerung;9714
31.12.2001;62 Kinderhaus-Ost;Wohnberechtigte Bevölkerung;5125
31.12.2001;63 Kinderhaus-West;Wohnberechtigte Bevölkerung;10790
31.12.2001;68 Sprakel;Wohnberechtigte Bevölkerung;2736
31.12.2001;71 Mauritz-Ost;Wohnberechtigte Bevölkerung;9789
31.12.2001;76 Gelmer-Dyckburg;Wohnberechtigte Bevölkerung;3413
31.12.2001;77 Handorf;Wohnberechtigte Bevölkerung;6998
31.12.2001;81 Gremmendorf-West;Wohnberechtigte Bevölkerung;4595
31.12.2001;82 Gremmendorf-Ost;Wohnberechtigte Bevölkerung;6084
31.12.2001;86 Angelmodde;Wohnberechtigte Bevölkerung;7629
31.12.2001;87 Wolbeck;Wohnberechtigte Bevölkerung;8931
31.12.2001;91 Berg Fidel;Wohnberechtigte Bevölkerung;5827
31.12.2001;95 Hiltrup-Ost;Wohnberechtigte Bevölkerung;7098
31.12.2001;96 Hiltrup-Mitte;Wohnberechtigte Bevölkerung;9735
31.12.2001;97 Hiltrup-West;Wohnberechtigte Bevölkerung;8670
31.12.2001;98 Amelsbüren;Wohnberechtigte Bevölkerung;5006
31.12.2002;11 Aegidii;Wohnberechtigte Bevölkerung;1289
31.12.2002;12 Überwasser;Wohnberechtigte Bevölkerung;1354
31.12.2002;13 Dom;Wohnberechtigte Bevölkerung;2087
31.12.2002;14 Buddenturm;Wohnberechtigte Bevölkerung;2285
31.12.2002;15 Martini;Wohnberechtigte Bevölkerung;1308
31.12.2002;21 Pluggendorf;Wohnberechtigte Bevölkerung;4258
31.12.2002;22 Josef;Wohnberechtigte Bevölkerung;7929
31.12.2002;23 Bahnhof;Wohnberechtigte Bevölkerung;981
31.12.2002;24 Hansaplatz;Wohnberechtigte Bevölkerung;6356
31.12.2002;25 Mauritz-West;Wohnberechtigte Bevölkerung;5650
31.12.2002;26 Schlachthof;Wohnberechtigte Bevölkerung;4683
31.12.2002;27 Kreuz;Wohnberechtigte Bevölkerung;11791
31.12.2002;28 Neutor;Wohnberechtigte Bevölkerung;4006
31.12.2002;29 Schloss;Wohnberechtigte Bevölkerung;1846
31.12.2002;31 Aaseestadt;Wohnberechtigte Bevölkerung;5508
31.12.2002;32 Geist;Wohnberechtigte Bevölkerung;8540
31.12.2002;33 Schützenhof;Wohnberechtigte Bevölkerung;6984
31.12.2002;34 Düesberg;Wohnberechtigte Bevölkerung;6592
31.12.2002;43 Hafen;Wohnberechtigte Bevölkerung;916
31.12.2002;44 Herz-Jesu;Wohnberechtigte Bevölkerung;5151
31.12.2002;45 Mauritz-Mitte;Wohnberechtigte Bevölkerung;9746
31.12.2002;46 Rumphorst;Wohnberechtigte Bevölkerung;8071
31.12.2002;47 Uppenberg;Wohnberechtigte Bevölkerung;7355
31.12.2002;51 Gievenbeck;Wohnberechtigte Bevölkerung;17140
31.12.2002;52 Sentrup;Wohnberechtigte Bevölkerung;6821
31.12.2002;54 Mecklenbeck;Wohnberechtigte Bevölkerung;9161
31.12.2002;56 Albachten;Wohnberechtigte Bevölkerung;4746
31.12.2002;57 Roxel;Wohnberechtigte Bevölkerung;7707
31.12.2002;58 Nienberge;Wohnberechtigte Bevölkerung;6708
31.12.2002;61 Coerde;Wohnberechtigte Bevölkerung;9837
31.12.2002;62 Kinderhaus-Ost;Wohnberechtigte Bevölkerung;5144
31.12.2002;63 Kinderhaus-West;Wohnberechtigte Bevölkerung;10865
31.12.2002;68 Sprakel;Wohnberechtigte Bevölkerung;2737
31.12.2002;71 Mauritz-Ost;Wohnberechtigte Bevölkerung;9780
31.12.2002;76 Gelmer-Dyckburg;Wohnberechtigte Bevölkerung;3359
31.12.2002;77 Handorf;Wohnberechtigte Bevölkerung;6986
31.12.2002;81 Gremmendorf-West;Wohnberechtigte Bevölkerung;4696
31.12.2002;82 Gremmendorf-Ost;Wohnberechtigte Bevölkerung;6082
31.12.2002;86 Angelmodde;Wohnberechtigte Bevölkerung;7590
31.12.2002;87 Wolbeck;Wohnberechtigte Bevölkerung;8785
31.12.2002;91 Berg Fidel;Wohnberechtigte Bevölkerung;5911
31.12.2002;95 Hiltrup-Ost;Wohnberechtigte Bevölkerung;7067
31.12.2002;96 Hiltrup-Mitte;Wohnberechtigte Bevölkerung;9807
31.12.2002;97 Hiltrup-West;Wohnberechtigte Bevölkerung;8821
31.12.2002;98 Amelsbüren;Wohnberechtigte Bevölkerung;5053
31.12.2003;11 Aegidii;Wohnberechtigte Bevölkerung;1303
31.12.2003;12 Überwasser;Wohnberechtigte Bevölkerung;1355
31.12.2003;13 Dom;Wohnberechtigte Bevölkerung;2083
31.12.2003;14 Buddenturm;Wohnberechtigte Bevölkerung;2222
31.12.2003;15 Martini;Wohnberechtigte Bevölkerung;1289
31.12.2003;21 Pluggendorf;Wohnberechtigte Bevölkerung;4225
31.12.2003;22 Josef;Wohnberechtigte Bevölkerung;7894
31.12.2003;23 Bahnhof;Wohnberechtigte Bevölkerung;980
31.12.2003;24 Hansaplatz;Wohnberechtigte Bevölkerung;6436
31.12.2003;25 Mauritz-West;Wohnberechtigte Bevölkerung;5679
31.12.2003;26 Schlachthof;Wohnberechtigte Bevölkerung;4630
31.12.2003;27 Kreuz;Wohnberechtigte Bevölkerung;11852
31.12.2003;28 Neutor;Wohnberechtigte Bevölkerung;3953
31.12.2003;29 Schloss;Wohnberechtigte Bevölkerung;1888
31.12.2003;31 Aaseestadt;Wohnberechtigte Bevölkerung;5528
